"cell_id","group_id"
"Cell145","Group1"
"Cell146","Group1"
"Cell147","Group1"
"Cell148","Group1"
"Cell149","Group2"
"Cell150","Group2"
"Cell151","Group2"
"Cell152","Group1"
"Cell153","Group1"
"Cell154","Group2"
"Cell155","Group1"
"Cell156","Group1"
"Cell157","Group1"
"Cell158","Group1"
"Cell159","Group1"
"Cell160","Group1"
"Cell161","Group1"
"Cell162","Group1"
"Cell163","Group1"
"Cell164","Group2"
"Cell165","Group1"
"Cell166","Group1"
"Cell167","Group1"
"Cell168","Group1"
"Cell169","Group1"
"Cell170","Group1"
"Cell171","Group2"
"Cell172","Group2"
"Cell173","Group2"
"Cell174","Group1"
"Cell175","Group1"
"Cell176","Group2"
"Cell177","Group1"
"Cell178","Group2"
"Cell179","Group1"
"Cell180","Group2"
"Cell181","Group1"
"Cell182","Group1"
"Cell183","Group2"
"Cell184","Group2"
"Cell185","Group2"
"Cell186","Group2"
"Cell187","Group1"
"Cell188","Group2"
"Cell189","Group2"
"Cell190","Group2"
"Cell191","Group2"
"Cell192","Group1"
"Cell193","Group1"
"Cell194","Group2"
"Cell195","Group1"
"Cell196","Group2"
"Cell197","Group1"
"Cell198","Group1"
"Cell199","Group1"
"Cell200","Group2"
"Cell201","Group1"
"Cell202","Group1"
"Cell203","Group2"
"Cell204","Group2"
"Cell205","Group2"
"Cell206","Group1"
"Cell207","Group1"
"Cell208","Group2"
"Cell209","Group2"
"Cell210","Group2"
"Cell211","Group1"
"Cell212","Group2"
"Cell213","Group2"
"Cell214","Group2"
"Cell215","Group1"
"Cell216","Group2"
"Cell217","Group2"
"Cell218","Group1"
"Cell219","Group1"
"Cell220","Group1"
"Cell221","Group2"
"Cell222","Group2"
"Cell223","Group2"
"Cell224","Group1"
"Cell225","Group1"
"Cell226","Group2"
"Cell227","Group2"
"Cell228","Group2"
"Cell229","Group1"
"Cell230","Group2"
"Cell231","Group1"
"Cell232","Group1"
"Cell233","Group2"
"Cell234","Group1"
"Cell235","Group1"
"Cell236","Group1"
"Cell237","Group2"
"Cell238","Group1"
"Cell239","Group1"
"Cell240","Group1"
"Cell241","Group1"
"Cell242","Group1"
"Cell243","Group2"
"Cell244","Group2"
"Cell245","Group2"
"Cell246","Group2"
"Cell247","Group1"
"Cell248","Group2"
"Cell249","Group1"
"Cell250","Group2"
"Cell251","Group2"
"Cell252","Group2"
"Cell253","Group1"
"Cell254","Group1"
"Cell255","Group2"
"Cell256","Group2"
"Cell257","Group2"
"Cell258","Group2"
"Cell259","Group1"
"Cell260","Group1"
"Cell261","Group1"
"Cell262","Group1"
"Cell263","Group2"
"Cell264","Group1"
"Cell265","Group2"
"Cell266","Group1"
"Cell267","Group1"
"Cell268","Group2"
"Cell269","Group2"
"Cell270","Group2"
"Cell271","Group1"
"Cell272","Group1"
"Cell273","Group1"
"Cell274","Group2"
"Cell275","Group2"
"Cell276","Group2"
"Cell277","Group1"
"Cell278","Group1"
"Cell279","Group2"
"Cell280","Group2"
"Cell281","Group1"
"Cell282","Group2"
"Cell283","Group1"
"Cell284","Group2"
"Cell285","Group2"
"Cell286","Group1"
"Cell287","Group2"
"Cell288","Group2"
"Cell289","Group2"
"Cell290","Group1"
"Cell291","Group1"
"Cell292","Group1"
"Cell293","Group1"
"Cell294","Group1"
"Cell295","Group2"
"Cell296","Group1"
"Cell297","Group1"
"Cell298","Group1"
"Cell299","Group1"
"Cell300","Group2"
